,Name,type,fuel_c,fuel_m,fuel_n,max_canopy,forest,forest_shrub,obstruct,canopy_growth,to_ID,age_out,bark_thickness,site_index,tree_height_model,dbh_model,upland,succession_code
-9999,No_Data,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,,,,,,,0,
60000,Deep_Water_Estuary,1,98,98,98,0,0,0,0,0,,,,,,,,
60001,Deep_Coastal_Bay_Channels,1,98,98,98,0,0,0,0,0,,,,,,,0,
60002,Deep_Coastal_Bay_Rock_Outcrops,1,98,98,98,0,0,0,0,0,,,,,,,0,
60003,Deep_Coastal_Bay_Gravel_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60004,Deep_Coastal_Bay_Flats_Sand_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60005,Deep_Coastal_Bay_Flats_Mud_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60006,Deep_Coastal_Bay_Flats_Shell_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60007,Deep_Coastal_Bay_Flats_Rock_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60008,Shallow_Coastal_Bay_Channels,1,98,98,98,0,0,0,0,0,,,,,,,0,
60009,Shallow_Coastal_Bay_Rock_Outcrops,1,98,98,98,0,0,0,0,0,,,,,,,0,
60010,Shallow_Coastal_Bay_Flats_Gravel_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60011,Shallow_Coastal_Bay_Flats_Sand_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60012,Shallow_Coastal_Bay_Flats_Mud_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60013,Shallow_Coastal_Bay_Flats_Shell_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60014,Shallow_Coastal_Bay_Flats_Rock_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60015,Marine_Shallow_Water_Channel,1,98,98,98,0,0,0,0,0,,,,,,,,
60016,Marine_Shallow_Water_Rocks,1,98,98,98,0,0,0,0,0,,,,,,,,
60017,,1,98,98,98,0,0,0,0,0,,,,,,,,
60018,Deep_River_Dominated_Flats_Gravel_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60019,Deep_River_Dominated_Flats_Sand_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60020,Deep_River_Dominated_Flats_Mud_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60021,Deep_River_Dominated_Flats_Shell_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60022,Deep_River_Dominated_Flats_Rock_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60023,Deep_River_Dominated_Estuary_Channels,1,98,98,98,0,0,0,0,0,,,,,,,0,
60024,Deep_River_Dominated_Estuary_Rock_Outcrops,1,98,98,98,0,0,0,0,0,,,,,,,,
