ID,tree_species,b1,b2,b3,b4,b5,reference
1,red maple,2.9435,0.9132,-0.0141,1.6580,-0.1095,Carmean 1978
2,sugar maple,3.3721,0.8407,-0.0150,2.6208,-0.2661,"Curtis and Post 1962, Solomon 1968"
3,sliver maple,1.0645,0.9918,-0.0812,1.7540,-0.0272,Brendemuehl et al. 1961b
4,hickories,1.8326,1.0015,-0.0207,1.4080,-0.0005,"Boisen and Newlin 1910, Hampf 1965"
5,american beech,29.7300,0.3631,-0.0127,16.7616,-0.6804,Carmean 1978
6,upland oaks,2.1037,0.9140,-0.0275,3.7962,-0.2530,Schnur 1937
7,chestnut oak,1.9044,0.9752,-0.0161,0.9262,0.0000,"Carmean 1971, 1972"
8,atlantic white cedar,1.5341,1.0013,-0.0208,0.9986,-0.0012,Korstian and Bush 1931
9,eastern redcedar,0.9276,1.0591,-0.0424,0.3529,0.3114,Hampf 1965
10,eastern white pine,1.9660,1.0000,-0.0240,1.8942,0.0000,Gevorkiantz 1957f
11,jack pine,1.6330,1.0000,-0.0223,1.2419,0.0000,Gevorkiantz 1956c
12,eastern hemlock,2.1493,0.9979,-0.0175,1.4086,-0.0008,Frothingham 1915a
